component_identifier,neuron_index,activation_mean,activation_variance,near_constant,total_non_dc_power,diagonal_power,diagonal_power_fraction,dominant_canonical_frequency_pair
N245,245,1.5334291689130328,4.1137678949661245,False,52528.70225082243,2866.8935980499123,0.05457765897890664,3
N246,246,2.17622772327758,9.254684126005962,False,118173.06160497012,3960.4549630979805,0.03351402518737326,48
N247,247,1.9353689749105698,7.612528796559723,False,97204.38020327108,3955.562174762435,0.04069325030920082,3
N248,248,5.048070199748341,49.05875459958088,False,626431.2374820482,68591.05097576103,0.10949494034088084,3
N249,249,1.3568282088001469,3.0791792244411376,False,39318.03951688888,1542.86652193102,0.03924067783868748,17
N250,250,3.7869326563785477,29.988665038869147,False,382925.26388132013,29016.251064873464,0.07577523292865435,56
N251,251,1.8616926400995555,5.822304851202341,False,74345.01064500268,2935.3518234898966,0.03948283547239232,20
N252,252,1.6368657964767146,5.9652899043330745,False,76170.78678842905,2963.2642073951497,0.0389028961408246,3
N253,253,4.610840193939553,43.11344416286722,False,550515.5685156516,57253.16054720287,0.1039991670018958,48
N254,254,5.300628466687057,55.72160841899565,False,711509.2179021552,76883.50399987695,0.10805693315761056,17
N255,255,3.071408443940078,13.086049765436044,False,167095.76945485282,11891.516983650617,0.07116587704432312,56
N256,256,4.897441283624989,43.76737075879591,False,558865.5572190648,57748.66338553024,0.10333194207367095,48
N257,257,3.230176614270038,23.95135249951518,False,305834.82006630936,34335.25620164096,0.11226732192951928,1
N258,258,2.6200350764653746,11.704300720447067,False,149452.2158993886,5894.280134800876,0.039439228781786094,17
N259,259,2.544130407992282,11.632951430058137,False,148541.15681041233,3026.3309096846106,0.02037368615317309,56
N260,260,1.8296065459895294,6.924133897479644,False,88414.26573691756,5863.991347594068,0.06632404056877833,56
N261,261,1.4502017541331353,4.2410006453967934,False,54153.337241071655,680.4529703590465,0.012565300774168517,17
N262,262,2.5066625536211995,17.182854874385555,False,219407.8738910291,7560.807284077941,0.0344600544638297,48
N263,263,1.3973171358110752,5.013422401864853,False,64016.39064941229,1564.05908240492,0.024432165989653136,48
N264,264,1.4251745296970488,1.7852545951987475,False,22795.915926092803,1433.9097936068542,0.06290204781662506,3
N265,265,2.406619055364356,11.968345303349892,False,152823.80117847474,8459.91181144123,0.055357292163943445,3
N266,266,1.8338878568735602,7.483258633588271,False,95553.7294922886,2972.3400332148326,0.031106478512224967,3
N267,267,1.7905393612403493,5.74388858360573,False,73343.71332406157,3197.0065098893397,0.043589373444506405,1
N268,268,7.313731872382294,103.87853890871396,False,1326425.063325368,161843.98851561177,0.12201517672612909,56
N269,269,3.0041353260139,17.254714505584843,False,220325.4495218128,22646.995858686692,0.10278883310048383,3
N270,270,3.101147685469218,22.47985223478707,False,287045.2331859961,31715.90249355245,0.11049095691828319,1
